Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
21.071,-2596.00,-3956.00,-8772.00,-109.00,14444.00,440.00
21.175,-2552.00,-11260.00,-12840.00,-4629.00,6793.00,1199.00
21.278,-3788.00,-15008.00,-8788.00,-1721.00,-3394.00,5849.00
21.382,-668.00,-10548.00,-15788.00,16839.00,10363.00,-5761.00
21.486,-1300.00,-19064.00,-17908.00,8421.00,2859.00,-10248.00
21.590,24484.00,29124.00,-13496.00,31162.00,-32768.00,-5596.00
21.691,12384.00,-9484.00,796.00,7339.00,8054.00,4783.00
21.797,8020.00,-16684.00,8988.00,-8518.00,7163.00,13860.00
21.901,11248.00,-19564.00,-14156.00,-7921.00,-6565.00,-13539.00
22.004,9828.00,-8208.00,-10736.00,5214.00,-7242.00,-15561.00
22.106,4292.00,-26980.00,1076.00,899.00,4666.00,4019.00
22.211,7436.00,-13532.00,-2340.00,3354.00,-1705.00,6274.00
22.315,7320.00,-10476.00,-2752.00,-2199.00,1973.00,2729.00
22.419,6156.00,-13480.00,-1956.00,-3190.00,-224.00,1927.00
22.522,4120.00,-10104.00,-2992.00,-15408.00,7525.00,22417.00
22.626,-4260.00,-15452.00,-17040.00,-32768.00,-17802.00,8851.00
22.729,-7832.00,-5436.00,-14480.00,-5025.00,4314.00,2523.00
22.833,-3708.00,-284.00,-29220.00,3120.00,16209.00,-5474.00
22.937,-5396.00,-5552.00,-16812.00,30423.00,32087.00,-17259.00
23.041,3140.00,-4924.00,-15900.00,6943.00,11399.00,-20547.00
23.144,7572.00,-9832.00,-16936.00,22232.00,21663.00,-14552.00
23.248,8668.00,-5976.00,-4712.00,5820.00,-8323.00,3140.00
23.352,9036.00,-4440.00,-7540.00,-27335.00,-5958.00,21681.00
23.456,-9540.00,1968.00,-8196.00,-32768.00,-26877.00,32767.00
23.559,4384.00,1720.00,-24260.00,140.00,32767.00,32640.00
23.663,10104.00,15640.00,-30948.00,-32768.00,-24632.00,-4586.00
23.767,-11456.00,2228.00,-17260.00,-22679.00,-32768.00,-4521.00
23.870,-876.00,2252.00,-10152.00,-7809.00,-3354.00,-7989.00
23.974,-1128.00,-1852.00,-8376.00,25664.00,5595.00,4347.00
24.077,-4400.00,-1500.00,-6780.00,-1142.00,-19856.00,23343.00
24.182,-13804.00,-7404.00,-21532.00,-14301.00,-32768.00,-6425.00
24.285,-10772.00,-3044.00,-12664.00,18896.00,3601.00,-1426.00
24.389,-1064.00,-9928.00,-11816.00,29423.00,29762.00,-11863.00
24.492,-3700.00,-10536.00,-13100.00,-16516.00,-7310.00,3645.00
24.596,-2636.00,-11520.00,-11320.00,7006.00,4491.00,-2085.00
24.698,-2884.00,-11248.00,-12068.00,0.00,710.00,-194.00
24.803,-2372.00,-11776.00,-11416.00,448.00,765.00,-250.00
24.906,-2432.00,-11916.00,-11508.00,1238.00,1350.00,-474.00
25.010,-3320.00,-12620.00,-11648.00,273.00,606.00,-125.00
25.113,-3084.00,-12972.00,-11324.00,1244.00,847.00,-58.00
25.217,-2076.00,-12364.00,-11200.00,741.00,650.00,-288.00
25.321,-1760.00,-12460.00,-10880.00,347.00,696.00,-297.00
25.424,-1680.00,-12508.00,-10744.00,117.00,713.00,-216.00
25.528,-1688.00,-12608.00,-10792.00,-101.00,737.00,-206.00
25.631,-1468.00,-12656.00,-10648.00,-50.00,672.00,-167.00
25.734,-1444.00,-12692.00,-10524.00,-141.00,651.00,-143.00
25.838,-1316.00,-12816.00,-10428.00,-18.00,593.00,-167.00
25.941,-1320.00,-12852.00,-10364.00,27.00,589.00,-142.00
26.045,-1256.00,-12972.00,-10360.00,-119.00,584.00,-133.00
26.148,-1544.00,-12780.00,-9756.00,1100.00,427.00,-20.00
26.252,-1360.00,-13048.00,-10532.00,-253.00,536.00,-132.00
26.355,-1196.00,-13020.00,-10160.00,-37.00,536.00,-103.00
26.459,-1124.00,-13080.00,-10040.00,-677.00,625.00,-123.00
26.562,-1040.00,-13056.00,-10136.00,-221.00,547.00,-108.00
26.666,-940.00,-13040.00,-10060.00,-231.00,477.00,-66.00
26.768,-956.00,-13164.00,-10308.00,-270.00,332.00,-9.00
26.871,-1012.00,-13272.00,-10036.00,-379.00,367.00,3.00
26.975,-1072.00,-13184.00,-9808.00,-236.00,331.00,-7.00
27.078,-852.00,-13116.00,-10036.00,-438.00,317.00,45.00
27.183,-992.00,-13196.00,-9984.00,-154.00,335.00,-3.00
27.286,-940.00,-13180.00,-9900.00,-302.00,343.00,13.00
27.388,-1036.00,-13244.00,-9920.00,-354.00,353.00,35.00
27.493,-1020.00,-13296.00,-9744.00,272.00,569.00,35.00
27.595,-968.00,-13280.00,-9688.00,-229.00,346.00,-12.00
27.700,-948.00,-13256.00,-9712.00,-134.00,413.00,27.00
27.803,-904.00,-13332.00,-9720.00,-287.00,349.00,23.00
27.906,-1284.00,-13288.00,-9428.00,-1698.00,827.00,-496.00
28.008,-856.00,-13372.00,-10040.00,414.00,697.00,-45.00
28.112,-840.00,-13444.00,-9820.00,-465.00,331.00,-18.00
28.215,-668.00,-13372.00,-9580.00,784.00,556.00,-121.00
28.321,-864.00,-13408.00,-9624.00,-321.00,340.00,14.00
28.424,-804.00,-13460.00,-9788.00,-368.00,317.00,28.00
28.525,-776.00,-13460.00,-9788.00,-284.00,308.00,-14.00
28.630,-700.00,-13388.00,-9688.00,-504.00,507.00,-115.00
28.734,-704.00,-13476.00,-9812.00,-501.00,370.00,51.00
28.837,-732.00,-13516.00,-9712.00,-261.00,340.00,-4.00
28.941,-664.00,-13428.00,-9548.00,-219.00,418.00,-6.00
29.044,-628.00,-13592.00,-9384.00,697.00,531.00,-72.00
29.147,-532.00,-13496.00,-9616.00,-436.00,320.00,41.00
29.251,-612.00,-13504.00,-9592.00,-376.00,340.00,25.00
29.354,-592.00,-13588.00,-9424.00,-322.00,328.00,3.00
29.457,-592.00,-13512.00,-9480.00,-337.00,338.00,14.00
29.561,-564.00,-13544.00,-9584.00,-273.00,361.00,-3.00
29.662,-592.00,-13876.00,-9896.00,912.00,654.00,-245.00
29.768,-552.00,-13644.00,-9448.00,-301.00,346.00,26.00
29.871,-552.00,-13568.00,-9464.00,-438.00,350.00,35.00
29.974,-588.00,-13588.00,-9576.00,-277.00,329.00,12.00
30.077,-428.00,-13656.00,-9388.00,-320.00,335.00,1.00
30.181,-476.00,-13728.00,-9456.00,-298.00,345.00,7.00
30.284,-540.00,-13616.00,-9376.00,-77.00,507.00,-27.00
30.386,-368.00,-13676.00,-9448.00,-407.00,432.00,-38.00
30.491,-384.00,-13636.00,-9220.00,26.00,404.00,-31.00
30.594,-488.00,-13744.00,-9192.00,-388.00,329.00,37.00
30.697,-332.00,-13740.00,-9340.00,-407.00,355.00,41.00
30.801,-420.00,-13632.00,-9316.00,-289.00,362.00,-1.00
30.904,-400.00,-13696.00,-9296.00,-557.00,400.00,-106.00
31.006,-416.00,-13812.00,-9292.00,-303.00,371.00,-25.00
31.111,-392.00,-13720.00,-9356.00,-366.00,344.00,28.00
31.214,-240.00,-13792.00,-9352.00,-335.00,342.00,23.00
31.318,-416.00,-13664.00,-9200.00,-326.00,364.00,29.00
31.421,-320.00,-13756.00,-9176.00,-324.00,337.00,18.00
31.525,-336.00,-13708.00,-9352.00,-310.00,339.00,12.00
31.628,-428.00,-13776.00,-9152.00,-337.00,337.00,10.00
31.731,-240.00,-13540.00,-9084.00,-78.00,369.00,14.00
31.835,-276.00,-13744.00,-9208.00,-382.00,337.00,27.00
31.937,-296.00,-13756.00,-9296.00,-365.00,363.00,38.00
32.041,-308.00,-13736.00,-9240.00,1086.00,861.00,17.00
32.142,-208.00,-13760.00,-9356.00,-196.00,356.00,-25.00
